dataorigin,child,L1,L2,testlanguage,age,story,item,response,mode,storylength,type,test_lang_status,ling,episode
CAN-Ali,PerEng01,Persian,English,eng,100,cat,A2,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng01,Persian,English,eng,100,cat,A6,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng01,Persian,English,eng,100,cat,A7,0,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng01,Persian,English,eng,100,cat,A11,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng01,Persian,English,eng,100,cat,A12,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng01,Persian,English,eng,100,cat,A16,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng01,Persian,English,per,100,dog,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng01,Persian,English,per,100,dog,A6,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng01,Persian,English,per,100,dog,A7,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng01,Persian,English,per,100,dog,A11,0,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng01,Persian,English,per,100,dog,A12,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng01,Persian,English,per,100,dog,A16,0,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng02,Persian,English,eng,104,dog,A2,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng02,Persian,English,eng,104,dog,A6,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng02,Persian,English,eng,104,dog,A7,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng02,Persian,English,eng,104,dog,A11,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng02,Persian,English,eng,104,dog,A12,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng02,Persian,English,eng,104,dog,A16,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng02,Persian,English,per,104,cat,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng02,Persian,English,per,104,cat,A6,0,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng02,Persian,English,per,104,cat,A7,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng02,Persian,English,per,104,cat,A11,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng02,Persian,English,per,104,cat,A12,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng02,Persian,English,per,104,cat,A16,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng03,Persian,English,per,106,cat,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng03,Persian,English,per,106,cat,A6,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng03,Persian,English,per,106,cat,A7,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng03,Persian,English,per,106,cat,A11,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng03,Persian,English,per,106,cat,A12,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng03,Persian,English,per,106,cat,A16,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng03,Persian,English,eng,106,dog,A2,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng03,Persian,English,eng,106,dog,A6,0,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng03,Persian,English,eng,106,dog,A7,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng03,Persian,English,eng,106,dog,A11,0,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng03,Persian,English,eng,106,dog,A12,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng03,Persian,English,eng,106,dog,A16,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng04,Persian,English,per,112,cat,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng04,Persian,English,per,112,cat,A6,0,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng04,Persian,English,per,112,cat,A7,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng04,Persian,English,per,112,cat,A11,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng04,Persian,English,per,112,cat,A12,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng04,Persian,English,per,112,cat,A16,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng04,Persian,English,eng,112,dog,A2,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng04,Persian,English,eng,112,dog,A6,0,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng04,Persian,English,eng,112,dog,A7,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng04,Persian,English,eng,112,dog,A11,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng04,Persian,English,eng,112,dog,A12,0,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng04,Persian,English,eng,112,dog,A16,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng05,Persian,English,eng,97,dog,A2,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng05,Persian,English,eng,97,dog,A6,0,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng05,Persian,English,eng,97,dog,A7,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng05,Persian,English,eng,97,dog,A11,0,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng05,Persian,English,eng,97,dog,A12,0,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng05,Persian,English,eng,97,dog,A16,0,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng05,Persian,English,per,97,cat,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng05,Persian,English,per,97,cat,A6,0,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng05,Persian,English,per,97,cat,A7,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng05,Persian,English,per,97,cat,A11,0,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng05,Persian,English,per,97,cat,A12,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng05,Persian,English,per,97,cat,A16,0,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng06,Persian,English,per,108,dog,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng06,Persian,English,per,108,dog,A6,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng06,Persian,English,per,108,dog,A7,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng06,Persian,English,per,108,dog,A11,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng06,Persian,English,per,108,dog,A12,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng06,Persian,English,per,108,dog,A16,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng06,Persian,English,eng,108,cat,A2,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng06,Persian,English,eng,108,cat,A6,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng06,Persian,English,eng,108,cat,A7,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng06,Persian,English,eng,108,cat,A11,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng06,Persian,English,eng,108,cat,A12,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng06,Persian,English,eng,108,cat,A16,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng07,Persian,English,per,108,cat,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng07,Persian,English,per,108,cat,A6,0,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng07,Persian,English,per,108,cat,A7,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng07,Persian,English,per,108,cat,A11,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng07,Persian,English,per,108,cat,A12,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng07,Persian,English,per,108,cat,A16,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng07,Persian,English,eng,108,dog,A2,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng07,Persian,English,eng,108,dog,A6,0,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng07,Persian,English,eng,108,dog,A7,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng07,Persian,English,eng,108,dog,A11,0,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng07,Persian,English,eng,108,dog,A12,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng07,Persian,English,eng,108,dog,A16,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng08,Persian,English,per,108,dog,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng08,Persian,English,per,108,dog,A6,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng08,Persian,English,per,108,dog,A7,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng08,Persian,English,per,108,dog,A11,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng08,Persian,English,per,108,dog,A12,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng08,Persian,English,per,108,dog,A16,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng08,Persian,English,eng,108,cat,A2,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng08,Persian,English,eng,108,cat,A6,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng08,Persian,English,eng,108,cat,A7,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng08,Persian,English,eng,108,cat,A11,0,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng08,Persian,English,eng,108,cat,A12,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng08,Persian,English,eng,108,cat,A16,0,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng09,Persian,English,per,100,dog,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng09,Persian,English,per,100,dog,A6,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng09,Persian,English,per,100,dog,A7,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng09,Persian,English,per,100,dog,A11,1,retelling,NA,td,L1,Bilingual,episode2
CAN-Ali,PerEng09,Persian,English,per,100,dog,A12,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng09,Persian,English,per,100,dog,A16,1,retelling,NA,td,L1,Bilingual,episode3
CAN-Ali,PerEng09,Persian,English,eng,100,cat,A2,1,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng09,Persian,English,eng,100,cat,A6,0,retelling,NA,td,L2,Bilingual,episode1
CAN-Ali,PerEng09,Persian,English,eng,100,cat,A7,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng09,Persian,English,eng,100,cat,A11,1,retelling,NA,td,L2,Bilingual,episode2
CAN-Ali,PerEng09,Persian,English,eng,100,cat,A12,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng09,Persian,English,eng,100,cat,A16,1,retelling,NA,td,L2,Bilingual,episode3
CAN-Ali,PerEng10,Persian,English,per,96,cat,A2,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng10,Persian,English,per,96,cat,A6,1,retelling,NA,td,L1,Bilingual,episode1
CAN-Ali,PerEng10,Persian,English,per,96,cat,A7,1,retelling,NA,td,L1,Bilingual,episode2
