dataorigin,child,L1,L2,testlanguage,age,story,item,response,mode,storylength,type,test_lang_status,ling
CAN-Ali,PerEng01,Persian,English,eng,100,cat,setting,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,goal,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,goal,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,eng,100,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,setting,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,goal,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,ist,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng01,Persian,English,per,100,dog,ist,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,setting,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,goal,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,outcome,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,outcome,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,eng,104,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,setting,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,ist,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,goal,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,attempt,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,goal,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,attempt,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng02,Persian,English,per,104,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,setting,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,attempt,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,per,106,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,setting,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,attempt,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,attempt,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng03,Persian,English,eng,106,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,setting,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,ist,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,goal,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,goal,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,per,112,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,setting,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,attempt,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,outcome,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,goal,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,attempt,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,attempt,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng04,Persian,English,eng,112,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,setting,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,eng,97,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,setting,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,attempt,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,ist,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,outcome,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,ist,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,goal,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng05,Persian,English,per,97,cat,ist,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,setting,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,goal,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,attempt,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,per,108,dog,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,setting,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,goal,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,attempt,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,attempt,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng06,Persian,English,eng,108,cat,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,setting,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,attempt,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,ist,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,goal,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,goal,0,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,attempt,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,outcome,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,per,108,cat,ist,1,retelling,NA,td,L1,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,setting,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,goal,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,ist,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,goal,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,attempt,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,outcome,1,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,ist,0,retelling,NA,td,L2,Bilingual
CAN-Ali,PerEng07,Persian,English,eng,108,dog,ist,1,retelling,NA,td,L2,Bilingual
