dataorigin,N_participants,mean_age,min_age,max_age,N_bilinguals
AFR/XHO,221,4.59,4.17,5.08,0
CAN-Ali,20,8.76,8,9.5,20
Catalunya-Spain,70,6.27,4.17,7.92,70
Cro-Gordana,91,7.41,5.08,9,0
Cyp-Sviatlana,40,5,4,6,40
DEU-Gol,62,8.05,6.5,10.5,0
ELL_DEU_Tsel,72,7.18,6.17,8,72
ENG-Per,44,7.79,4.17,13.92,0
Est-ReiAnd,27,6.01,4.58,7.17,12
Fin-Sari,55,5.87,5,6.92,16
Geo-Dato,20,5.31,4,6.42,0
Ger-ZAS,146,5.11,3.75,7.67,146
Gha-Gloria,40,6.75,5,8.58,40
Hkg-Angel,24,9.13,6.67,12.08,24
IND-Mgr,33,9.4,8.83,10.67,33
IND-Uma,107,11.81,10.17,13.5,107
IRL-Stasha,35,6.61,5.25,8,35
IRN-Ali,61,4.5,3.83,5.17,0
Isr-Sveta,44,5.81,4.67,6.42,25
Ita-Cor,55,10.15,7,14,55
Ita-Maja,87,6.01,5,7.17,61
KOR-Sun,522,8.63,4,12.75,25
Kaz-Amirkul,34,6.72,5.42,7.42,34
Kristine Jensen de Lopez(Hanne Knudsen),18,8.9,6.58,12,0
Kristine Jensen de Lopez(Jonas Maigaard),36,7.19,6.08,8.92,0
Lith-Ineta,28,5.78,4.17,7.25,28
MAN-Wen,19,6.95,5.5,7.42,19
NLD-ElmaTessel,127,6.08,4.5,8.92,80
Peristeri-Tsimpli,40,8.54,7.25,10.17,0
Phil-Kathleen,18,8.99,5.33,11,18
Pol-Aga,83,5.76,4.17,6.92,42
RUS-GER,34,5.95,4.92,6.75,0
Rus-Elena,25,4.61,3.42,5,0
SGP-Sun,61,4.91,3,6.58,61
Sgaelic-Vicky,15,7.42,6.25,8.08,15
Slo-Monika,56,4.99,3.08,6.92,0
Slo-Svetlana,64,5.91,5,6.92,44
Swe-Josefin,72,5.43,4,6.83,0
Swe-Ute,64,6.22,4.83,7.67,50
TJK-,20,10.5,6.83,13.83,20
UKR_RUS_iefrem_alkhim,19,7.65,5.92,9.75,19
Uga-Celestino,24,9.46,7.25,12.67,24
Yakut-Yuliya,30,7.22,6.33,8,30
